Electoral District Name/Nom de circonscription,Candidate/Candidat,Party (French),Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Region
Moose Jaw--Lake Centre--Lanigan,Talon Regent NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7975,19.4,Rural Saskatchewan
Lethbridge,Elaine Perez NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11386,19.3,Rural Alberta
Peterborough--Kawartha,Joy Lachica NDP-New Democratic Party,NPD-Nouveau Parti démocratique,13302,18.9,Central Ontario 
Sturgeon River--Parkland,Kendra Mills NDP-New Democratic Party,NPD-Nouveau Parti démocratique,12532,18.9,Rural Alberta
Calgary Midnapore,Gurmit Bhachu NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11826,18.3,Calgary
Saanich--Gulf Islands,Sabina Singh NDP-New Democratic Party,NPD-Nouveau Parti démocratique,11959,18.3,Vancouver Island 
Calgary Forest Lawn,Keira Gunn NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6254,18.1,Calgary
Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill,Harmonie King NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3548,17.2,Rural Saskatchewan
Barrie--Springwater--Oro-Medonte,Sarah Lochhead NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8910,17.1,Central Ontario 
Moncton--Riverview--Dieppe,Serge Landry NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7774,17,New Brunswick
Banff--Airdrie,Sarah Zagoda NDP-New Democratic Party,NPD-Nouveau Parti démocratique,12482,16.2,Rural Alberta
Barrie--Innisfil,Aleesha Gostkowski NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8349,15.8,Central Ontario 
Prince Albert,Ken MacDougall NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5214,15.1,Rural Saskatchewan
Red Deer--Lacombe,Tanya Heyden-Kaye NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8806,14.2,Rural Alberta
Sherbrooke,Marika Lalime NDP-New Democratic Party,NPD-Nouveau Parti démocratique,8107,13.9,Eastern Townships
Lac-Saint-Louis,Jonathan Gray NDP-New Democratic Party,NPD-Nouveau Parti démocratique,7679,13.3,Suburban Montreal and Laval
Dorval--Lachine--LaSalle,Fabiola Ngamaleu Teumeni NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6241,13,Suburban Montreal and Laval
Québec,Tommy Bureau NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6652,13,Quebec City
Hull--Aylmer,Samuel Gendron NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6483,12.7,Laurentides and Outaouais and Northern Quebec
Abitibi--Baie-James--Nunavik--Eeyou,Pauline Lameboy NDP-New Democratic Party,NPD-Nouveau Parti démocratique,3323,11.7,Laurentides and Outaouais and Northern Quebec
Ahuntsic-Cartierville,Ghada Chaabi NDP-New Democratic Party,NPD-Nouveau Parti démocratique,5844,11.6,Suburban Montreal and Laval
Saint-Hyacinthe--Bagot,Brigitte Sansoucy NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6170,11.6,Eastern Townships
Pierrefonds--Dollard,Maninderjit Kaur Tumbar NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6034,11.5,Suburban Montreal and Laval
Pontiac,Denise Giroux NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6824,11,Laurentides and Outaouais and Northern Quebec
Saint-Laurent,Nathan Devereaux NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4059,10.9,Quebec City
Vaudreuil--Soulanges,Niklas Brake NDP-New Democratic Party,NPD-Nouveau Parti démocratique,6780,10.5,Montérégie
Trois-Rivières,Adis Simidzija NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4680,8.1,Central Quebec
Repentigny,Naomie Mathieu Chauvette NDP-New Democratic Party,NPD-Nouveau Parti démocratique,4484,7.5,Central Quebec
Rimouski-Neigette--Témiscouata--Les Basques,Sylvain Lajoie NDP-New Democratic Party,NPD-Nouveau Parti démocratique,2641,6.3,Eastern Quebec
Nunavut,Laura Mackenzie Conservative,Conservateur,1184,16.5,Nunavut
